dataset/row	baseline output	candidate output	target	baseline AST	candidate AST	target AST	W/T/L transition
mba_flatten:1933	0x3 * ~ (v0 & v1) + v0 * v1	-0x3 - 0x3 * (v0 & v1) + v0 * v1	-(-0x1) * v1 * v0 + 0x3 * ~ (v0 & v1)	9	9	12	W→W
mba_flatten:1934	0x5 * ~ v0 + v0 * v1	-0x5 - 0x5 * v0 + v0 * v1	-(-0x1) * v1 * v0 + 0x5 * ~ v0	7	7	10	W→W
mba_flatten:1935	-0x2 - (v0 & ~ v1) + v0 * v1	-0x2 - v0 + (v0 & v1) + v0 * v1	-(-0x1) * v1 * v0 + 0x1 * ~ (v0 & ~ v0) + 0x1 * ~ (v0 & ~ v1)	10	10	20	W→W
mba_flatten:1938	-(v0 & ~ v1) + v0 * v1	-v0 + (v0 & v1) + v0 * v1	-(-0x1) * v1 * v0 + 0x1 * v1 - (v0 | v1)	9	9	13	W→W
mba_flatten:1939	v1 - ~ v0 + v0 * v1	v0 + v1 + 0x1 + v0 * v1	-(-0x1) * v1 * v0 - ~ (v0 & v1) + 0x1 * (v0 | v1)	8	7	16	W→W
mba_flatten:1947	-0x4 * ~ (v0 ^ v1) - v0 * v1	0x4 + 0x4 * (v0 ^ v1) - v0 * v1	v0 * (-0x1) * v1 - 0x4 * ~ (v0 ^ v1)	10	10	12	W→W
mba_flatten:1953	-(~ v0 | v1) - v0 * v1	0x1 - v0 * v1 + (v0 & ~ v1)	v0 * (-0x1) * v1 - ~ (v0 & ~ v1)	10	10	11	W→W
mba_flatten:1959	-(~ v1 | v0) - v0 * v1	0x1 - v0 * v1 + (v1 & ~ v0)	v0 * (-0x1) * v1 - (v0 | ~ v1)	10	10	10	T→T
mba_flatten:1963	-(v0 & ~ v1) - v0 * v1	-v0 - v0 * v1 + (v0 & v1)	(-0x1) * v1 * v0 + 0x1 * v1 - (v0 | v1)	10	10	12	W→W
mba_flatten:1977	0x3 * v0 - ~ (v0 & v1) - v0 * v1	0x1 + 0x3 * v0 - v0 * v1 + (v0 & v1)	v0 * (-0x1) * v1 + 0x3 * v0 - ~ (v0 & v1)	12	11	13	W→W
mba_flatten:1980	0x2 * v1 - ~ (v0 & v1) - v0 * v1	0x1 + 0x2 * v1 - v0 * v1 + (v0 & v1)	v0 * (-0x1) * v1 + 0x2 * v1 - ~ (v0 & v1)	12	11	13	W→W
mba_flatten:1988	0x2 * v0 - 0x3 * (v0 & v1) - v1 - ~ (v0 * v1)	0x1 + 0x2 * v0 - 0x3 * (v0 & v1) - v1 + v0 * v1	~ ((-0x1) * v0) * v1 - 0x2 * ~ (v0 & ~ v1) + 0x1 * ~ (v0 & v1)	14	13	20	W→W
mba_flatten:1989	0x3 * ~ (v0 & v1) - v0 * v1	-0x3 - 0x3 * (v0 & v1) - v0 * v1	v0 * (-0x1) * v1 + 0x3 * ~ (v0 & v1)	10	10	11	W→W
mba_flatten:1998	-~ v0 - v0 * v1	v0 + 0x1 - v0 * v1	v0 * (-0x1) * v1 - ~ v0	8	7	8	T→W
mba_flatten:2067	0xb * v1 - 0x2 * ~ (v0 & v1) + v0 * v1	0x2 + 0x2 * (v0 & v1) + 0xb * v1 + v0 * v1	v0 * v1 + 0xb * v1 - 0x2 * ~ (v0 & v1)	11	11	14	W→W
mba_flatten:2068	-0x2 * (v0 & ~ v1) - ~ v1 + v0 * v1	v1 + 0x1 - 0x2 * (v0 & ~ v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 | v1) - 0x3 * (v0 & ~ v1)	12	11	18	W→W
mba_flatten:2074	0x9 * (v0 & v1) - 0xb * v0 - 0x2 * ~ v1 + v0 * v1	0x2 + 0x2 * v1 + 0x9 * (v0 & v1) - 0xb * v0 + v0 * v1	v0 * v1 - 0xd * (v0 & ~ v1) - 0x2 * ~ (v0 ^ v1)	13	13	18	W→W
mba_flatten:2076	-v0 - ~ v1 + v0 * v1	v1 + 0x1 - v0 + v0 * v1	v0 * v1 - 0x1 * ~ (v0 ^ v1) - 0x2 * (v0 & ~ v1)	9	8	18	W→W
mba_flatten:2078	-~ v0 + v0 * v1	v0 + 0x1 + v0 * v1	v0 * v1 - 0x1 * ~ v0	7	6	9	W→W
mba_flatten:2079	-0x4 * (v0 | v1) - ~ (v0 * v1)	0x1 - 0x4 * (v0 | v1) + v0 * v1	v0 * v1 - 0x5 * ~ (v0 & ~ v0) + 0x4 * ~ (v0 | v1)	10	9	18	W→W
mba_flatten:2082	-v0 - ~ (v0 * v1)	0x1 - v0 + v0 * v1	v0 * v1 - 0x1 * ~ v0 - 0x2 * v0	8	7	13	W→W
mba_flatten:2090	-0x4 * (v1 & ~ v0) - ~ v0 + v0 * v1	v0 + 0x1 - 0x4 * (v1 & ~ v0) + v0 * v1	v0 * v1 - 0x5 * ~ (v0 | ~ v1) - 0x1 * ~ (v0 | v1)	12	11	19	W→W
mba_flatten:2092	-(~ v1 | v0) + v0 * v1	0x1 + (v1 & ~ v0) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 ^ v1) - 0x1 * (v0 & ~ v1)	9	9	18	W→W
mba_flatten:2094	v1 - ~ v0 + (v0 & v1) + v0 * v1	v0 + v1 + 0x1 + (v0 & v1) + v0 * v1	v0 * v1 + 0x3 * (v0 & v1) - 0x1 * ~ (v0 ^ v1)	11	10	16	W→W
mba_flatten:2101	0x9 * ~ v0 - 0x5 * (v1 & ~ v0) + v0 * v1	-0x9 - 0x9 * v0 - 0x5 * (v1 & ~ v0) + v0 * v1	v0 * v1 + 0x4 * ~ (v0 | ~ v1) + 0x9 * ~ (v0 | v1)	12	12	17	W→W
mba_flatten:2105	0x3 * (v1 & ~ v0) - ~ v0 + v0 * v1	v0 + 0x1 + 0x3 * (v1 & ~ v0) + v0 * v1	v0 * v1 + 0x2 * ~ v0 - 0x3 * ~ (v0 | v1)	12	11	15	W→W
mba_flatten:2107	0x2 * ~ v1 - 0x9 * (v0 & ~ v1) + v0 * v1	-0x2 - 0x9 * (v0 & ~ v1) - 0x2 * v1 + v0 * v1	v0 * v1 + 0x2 * ~ v1 - 0x9 * (v0 & ~ v1)	12	12	15	W→W
mba_flatten:2109	-0x16 * ~ v1 - 0xb * (v0 & v1) + v0 * v1	0x16 + 0x16 * v1 - 0xb * (v0 & v1) + v0 * v1	v0 * v1 - 0xb * ~ v1 - 0xb * (v0 | ~ v1)	11	11	16	W→W
mba_flatten:2111	0x6 * (v0 & v1) + 0x9 * ~ v1 - 0x3 * v0 + v0 * v1	0x3 * ~ (v0 ^ v1) + 0x6 * ~ v1 + v0 * v1	v0 * v1 + 0x3 * ~ (v0 ^ v1) + 0x6 * ~ v1	13	12	14	W→W
mba_flatten:2112	-0x2 * v1 - ~ v0 + (v0 & v1) + v0 * v1	v0 + 0x1 - 0x2 * v1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & ~ v1) - 0x2 * ~ (v0 | ~ v1)	12	11	20	W→W
mba_flatten:2117	0x2 * v0 - 0x3 * (v0 & v1) - ~ v1 + v0 * v1	v1 + 0x1 + 0x2 * v0 - 0x3 * (v0 & v1) + v0 * v1	v0 * v1 + 0x2 * (v0 & ~ v1) - 0x1 * (v0 | ~ v1)	13	12	17	W→W
mba_flatten:2119	-0x2 * ~ v0 - (v0 & v1) + v0 * v1	0x2 + 0x2 * v0 - (v0 & v1) + v0 * v1	v0 * v1 - 0x2 * ~ v0 - 0x1 * (v0 & v1)	11	11	15	W→W
mba_flatten:2122	0x3 * ~ v1 + 0x7 * (v0 & v1) - 0x4 * v0 + v0 * v1	-0x3 + 0x7 * (v0 & v1) - 0x4 * v0 - 0x3 * v1 + v0 * v1	v0 * v1 - 0x4 * (v0 & ~ v1) + 0x3 * (v0 | ~ v1)	13	13	17	W→W
mba_flatten:2123	-(v1 & ~ v0) + v0 * v1	-v1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & ~ v0) + 0x1 * (v0 | ~ v1)	9	9	18	W→W
mba_flatten:2129	-0x5 * v1 - 0x2 * ~ v0 + v0 * v1	0x2 + 0x2 * v0 - 0x5 * v1 + v0 * v1	v0 * v1 - 0x5 * v1 - 0x2 * ~ v0	9	9	13	W→W
mba_flatten:2130	-~ v0 + v0 * v1	v0 + 0x1 + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & v1) + 0x1 * (v0 & ~ v1)	7	6	17	W→W
mba_flatten:2134	0x4 * ~ v0 + 0x7 * (v0 & v1) + v0 * v1	-0x4 + 0x7 * (v0 & v1) - 0x4 * v0 + v0 * v1	v0 * v1 + 0x7 * ~ (v0 & ~ v1) - 0x3 * ~ v0	11	11	16	W→W
mba_flatten:2135	-0x2 * (v0 & v1) - ~ (v0 * v1)	0x1 - 0x2 * (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & ~ v0) - 0x2 * (v0 & v1)	10	9	18	W→W
mba_flatten:2136	0xb * ~ v0 + v0 * v1	-0xb - 0xb * v0 + v0 * v1	v0 * v1 + 0xb * ~ (v0 | v1) + 0xb * ~ (v0 | ~ v1)	7	7	17	W→W
mba_flatten:2139	-0x4 * ~ (v0 ^ v1) + v0 * v1	0x4 + 0x4 * (v0 ^ v1) + v0 * v1	v0 * v1 - 0x4 * ~ (v0 | v1) - 0x4 * (v0 & v1)	9	9	17	W→W
mba_flatten:2144	0x7 * ~ (v0 ^ v1) + v0 * v1	-0x7 - 0x7 * (v0 ^ v1) + v0 * v1	v0 * v1 - 0x7 * (v0 & ~ v1) + 0x7 * (v0 | ~ v1)	9	9	17	W→W
mba_flatten:2147	0xb * ~ v1 - 0x3 * (v0 & v1) + v0 * v1	-0xb - 0xb * v1 - 0x3 * (v0 & v1) + v0 * v1	v0 * v1 - 0xe * (v0 & v1) + 0xb * (v0 | ~ v1)	11	11	16	W→W
mba_flatten:2148	-0x3 * ~ (v0 ^ v1) + v0 * v1	0x3 + 0x3 * (v0 ^ v1) + v0 * v1	v0 * v1 - 0x3 * ~ (v0 | v1) - 0x3 * (v0 & v1)	9	9	17	W→W
mba_flatten:2150	0x7 * (v0 & v1) - 0x6 * v0 - ~ (v0 * v1)	0x1 + 0x7 * (v0 & v1) - 0x6 * v0 + v0 * v1	v0 * v1 + 0x6 * ~ v0 - 0x7 * ~ (v0 & v1)	12	11	15	W→W
mba_flatten:2157	-0x4 * ~ (v0 ^ v1) + v0 * v1	0x4 + 0x4 * (v0 ^ v1) + v0 * v1	v0 * v1 - 0x4 * ~ (v0 ^ v1)	9	9	11	W→W
mba_flatten:2159	0x3 * ~ (v0 | v1) + v0 * v1	-0x3 - 0x3 * (v0 | v1) + v0 * v1	v0 * v1 + 0x3 * ~ (v0 | v1)	9	9	10	W→W
mba_flatten:2161	0x3 * v1 - 0x2 * (v0 & v1) - ~ (v0 * v1)	0x1 + 0x3 * v1 - 0x2 * (v0 & v1) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 | ~ v1) - 0x1 * ~ v1	12	11	16	W→W
mba_flatten:2171	0x3 * v1 - 0x4 * (v0 & v1) - ~ v0 + v0 * v1	v0 + 0x1 + 0x3 * v1 - 0x4 * (v0 & v1) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 | ~ v1) - 0x1 * ~ (v0 ^ v1)	13	12	18	W→W
mba_flatten:2173	-0x2 * ~ (v0 ^ v1) + v0 * v1	0x2 + 0x2 * (v0 ^ v1) + v0 * v1	v0 * v1 - 0x2 * ~ (v0 ^ v1)	9	9	11	W→W
mba_flatten:2174	-0x2 * ~ v1 + v0 * v1	0x2 + 0x2 * v1 + v0 * v1	v0 * v1 + 0x2 * v1 - 0x2 * ~ (v0 & ~ v0)	7	7	15	W→W
mba_flatten:2177	-0x4 * v0 - ~ v1 + v0 * v1	v1 + 0x1 - 0x4 * v0 + v0 * v1	v0 * v1 - 0x1 * ~ v1 - 0x4 * v0	9	8	13	W→W
mba_flatten:2178	-0x4 * ~ v1 + v0 * v1	0x4 + 0x4 * v1 + v0 * v1	v0 * v1 - 0x4 * ~ v1	7	7	9	W→W
mba_flatten:2179	0x2 * ~ (v0 ^ v1) + v0 * v1	-0x2 - 0x2 * (v0 ^ v1) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 ^ v1)	9	9	10	W→W
mba_flatten:2186	-0xb * ~ v0 + (v0 & v1) + v0 * v1	0xb + 0xb * v0 + (v0 & v1) + v0 * v1	v0 * v1 + 0x1 * (v0 & v1) - 0xb * ~ v0	10	10	14	W→W
mba_flatten:2188	-0x3 * ~ v1 + (v0 & v1) + v0 * v1	0x3 + 0x3 * v1 + (v0 & v1) + v0 * v1	v0 * v1 + 0x1 * (v0 & v1) - 0x3 * ~ v1	10	10	14	W→W
mba_flatten:2193	0x4 * ~ v1 + 0x5 * (v0 & v1) + v0 * v1	-0x4 + 0x5 * (v0 & v1) - 0x4 * v1 + v0 * v1	v0 * v1 - 0x1 * ~ v1 + 0x5 * (v0 | ~ v1)	11	11	15	W→W
mba_flatten:2198	0x5 * ~ v0 - 0x7 * v1 + v0 * v1	-0x5 - 0x7 * v1 - 0x5 * v0 + v0 * v1	v0 * v1 + 0x5 * ~ v0 - 0x7 * v1	9	9	12	W→W
mba_flatten:2203	0x2 * ~ v0 - 0x3 * (v1 & ~ v0) + v0 * v1	-0x2 - 0x3 * (v1 & ~ v0) - 0x2 * v0 + v0 * v1	v0 * v1 - 0x3 * ~ (v0 | ~ v1) + 0x2 * ~ v0	12	12	16	W→W
mba_flatten:2207	-~ (v0 & v1) + v0 * v1	0x1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * (v0 & ~ v1) - 0x1 * ~ v0	9	8	16	W→W
mba_flatten:2208	-v0 - (~ v1 | v0) + v0 * v1	0x1 - v0 + (v1 & ~ v0) + v0 * v1	v0 * v1 - 0x1 * v0 - 0x1 * (v0 | ~ v1)	11	11	15	W→W
mba_flatten:2210	-0x7 * ~ v1 + v0 * v1	0x7 + 0x7 * v1 + v0 * v1	v0 * v1 - 0x7 * (v0 | ~ v1) + 0x7 * (v0 & v1)	7	7	16	W→W
mba_flatten:2212	0x3 * ~ v1 - 0x3 * (v0 & v1) + v0 * v1	-0x3 - 0x3 * v1 - 0x3 * (v0 & v1) + v0 * v1	v0 * v1 - 0x3 * v1 + 0x3 * ~ (v0 & v1)	11	11	14	W→W
mba_flatten:2214	0x9 * (v0 & v1) - 0xa * v0 - 0xa * v1 - ~ (v0 * v1)	0x1 + 0x9 * (v0 & v1) - 0xa * v0 - 0xa * v1 + v0 * v1	v0 * v1 - 0x1 * ~ (v0 ^ v1) - 0xb * (v0 | v1)	14	13	17	W→W
mba_flatten:2215	-0x6 * ~ v0 - 0x6 * (v1 & ~ v0) + v0 * v1	0x6 + 0x6 * v0 - 0x6 * (v1 & ~ v0) + v0 * v1	v0 * v1 - 0xc * ~ (v0 | ~ v1) - 0x6 * ~ (v0 | v1)	12	12	19	W→W
mba_flatten:2220	0x11 * v1 - 0x17 * (v0 & v1) - 0x11 * ~ v0 + v0 * v1	0x11 + 0x11 * v0 + 0x11 * v1 - 0x17 * (v0 & v1) + v0 * v1	v0 * v1 - 0x6 * (v0 & v1) - 0x11 * ~ (v0 | v1)	13	13	17	W→W
mba_flatten:2221	-0xb * ~ v1 - 0x7 * (v0 & ~ v1) + v0 * v1	0xb + 0xb * v1 - 0x7 * (v0 & ~ v1) + v0 * v1	v0 * v1 - 0xb * ~ (v0 | v1) - 0x12 * (v0 & ~ v1)	12	12	18	W→W
mba_flatten:2223	0x2 * ~ v0 + 0x5 * (v1 & ~ v0) + v0 * v1	-0x2 + 0x5 * (v1 & ~ v0) - 0x2 * v0 + v0 * v1	v0 * v1 + 0x7 * ~ (v0 | ~ v1) + 0x2 * ~ (v0 | v1)	12	12	17	W→W
mba_flatten:2224	0x2 - (v1 & ~ v0) + v0 * v1	0x2 - v1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x2 * ~ (v0 & ~ v0) - 0x1 * ~ (v0 | ~ v1)	10	10	20	W→W
mba_flatten:2227	0xb * (v0 & ~ v1) - 0x5 * ~ v1 + v0 * v1	0x5 + 0x5 * v1 + 0xb * (v0 & ~ v1) + v0 * v1	v0 * v1 - 0x5 * ~ (v0 | v1) + 0x6 * (v0 & ~ v1)	12	12	17	W→W
mba_flatten:2228	-0x4 * ~ v0 + v0 * v1	0x4 + 0x4 * v0 + v0 * v1	v0 * v1 + 0x4 * (v0 & v1) - 0x4 * ~ (v0 & ~ v1)	7	7	17	W→W
mba_flatten:2230	0x3 * ~ v1 + v0 * v1	-0x3 - 0x3 * v1 + v0 * v1	v0 * v1 + 0x3 * ~ (v0 | v1) + 0x3 * (v0 & ~ v1)	7	7	16	W→W
mba_flatten:2231	0x13 * v1 - 0x12 * (v0 & v1) - ~ (v0 * v1)	0x1 + 0x13 * v1 - 0x12 * (v0 & v1) + v0 * v1	v0 * v1 + 0x13 * ~ (v0 | ~ v1) - 0x1 * ~ (v0 & v1)	12	11	18	W→W
mba_flatten:2233	0x6 * v0 - 0x8 * (v0 & v1) - 0x2 * ~ v1 + v0 * v1	0x2 + 0x2 * v1 + 0x6 * v0 - 0x8 * (v0 & v1) + v0 * v1	v0 * v1 - 0x2 * ~ (v0 ^ v1) + 0x4 * (v0 & ~ v1)	13	13	17	W→W
mba_flatten:2236	0x9 * ~ v1 - 0x6 * (v0 & ~ v1) + v0 * v1	-0x9 - 0x9 * v1 - 0x6 * (v0 & ~ v1) + v0 * v1	v0 * v1 + 0x9 * ~ (v0 | v1) + 0x3 * (v0 & ~ v1)	12	12	16	W→W
mba_flatten:2237	0x8 * (v1 & ~ v0) - 0x9 * ~ v0 + v0 * v1	0x9 + 0x8 * (v1 & ~ v0) + 0x9 * v0 + v0 * v1	v0 * v1 - 0x1 * ~ (v0 | ~ v1) - 0x9 * ~ (v0 | v1)	12	12	19	W→W
mba_flatten:2238	-0x4 * (v0 | v1) - ~ (v0 * v1)	0x1 - 0x4 * (v0 | v1) + v0 * v1	v0 * v1 + 0x4 * ~ (v0 | v1) - 0x5 * ~ (v0 & ~ v0)	10	9	18	W→W
mba_flatten:2243	0xc * v1 - 0x16 * (v0 & v1) - 0xc * ~ v0 + v0 * v1	0xc + 0xc * v0 + 0xc * v1 - 0x16 * (v0 & v1) + v0 * v1	v0 * v1 - 0xc * ~ (v0 | v1) - 0xa * (v0 & v1)	13	13	17	W→W
mba_flatten:2244	-0x3 * v1 - (~ v0 | v1) + v0 * v1	0x1 - 0x3 * v1 + (v0 & ~ v1) + v0 * v1	v0 * v1 + 0x3 * ~ (v0 | v1) - 0x4 * ~ (v0 & ~ v1)	11	11	18	W→W
mba_flatten:2245	-~ v0 - (v1 & ~ v0) + v0 * v1	v0 + 0x1 - v1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 | v1) - 0x2 * ~ (v0 | ~ v1)	12	11	19	W→W
mba_flatten:2246	-0xb * (v0 & v1) - 0x7 * ~ v0 + v0 * v1	0x7 + 0x7 * v0 - 0xb * (v0 & v1) + v0 * v1	v0 * v1 - 0x4 * (v0 & v1) - 0x7 * ~ (v0 & ~ v1)	11	11	18	W→W
mba_flatten:2247	-0x3 * ~ (v0 | v1) + v0 * v1	0x3 + 0x3 * (v0 | v1) + v0 * v1	v0 * v1 + 0x3 * (v0 & v1) - 0x3 * ~ (v0 ^ v1)	9	9	16	W→W
mba_flatten:2252	-0x4 * ~ (v0 | v1) + v0 * v1	0x4 + 0x4 * (v0 | v1) + v0 * v1	v0 * v1 - 0x4 * ~ (v0 | v1)	9	9	11	W→W
mba_flatten:2260	0x2 * ~ (v0 ^ v1) + v0 * v1	-0x2 - 0x2 * (v0 ^ v1) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 | v1) + 0x2 * (v0 & v1)	9	9	15	W→W
mba_flatten:2262	0x2 * ~ v0 - 0x2 * (v0 & v1) + v0 * v1	-0x2 - 0x2 * v0 - 0x2 * (v0 & v1) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 & ~ v1) - 0x4 * (v0 & v1)	11	11	17	W→W
mba_flatten:2264	-~ v1 + v0 * v1	v1 + 0x1 + v0 * v1	v0 * v1 - 0x1 * ~ v1	7	6	9	W→W
mba_flatten:2266	0xb * (v1 & ~ v0) - 0x7 * ~ v0 + v0 * v1	0x7 + 0x7 * v0 + 0xb * (v1 & ~ v0) + v0 * v1	v0 * v1 - 0x7 * ~ (v0 | v1) + 0x4 * ~ (v0 | ~ v1)	12	12	18	W→W
mba_flatten:2268	-(v1 & ~ v0) + v0 * v1	-v1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & ~ v0) + 0x1 * (v0 | ~ v1)	9	9	18	W→W
mba_flatten:2269	-0x2 * ~ v0 + v0 * v1	0x2 + 0x2 * v0 + v0 * v1	v0 * v1 - 0x2 * ~ (v0 | ~ v1) - 0x2 * ~ (v0 | v1)	7	7	19	W→W
mba_flatten:2273	-0x5 * ~ v1 + v0 * v1	0x5 + 0x5 * v1 + v0 * v1	v0 * v1 - 0x5 * (v0 | ~ v1) + 0x5 * (v0 & v1)	7	7	16	W→W
mba_flatten:2274	v1 + 0x3 * (v0 & v1) - ~ v0 + v0 * v1	v0 + v1 + 0x1 + 0x3 * (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 ^ v1) + 0x5 * (v0 & v1)	12	11	16	W→W
mba_flatten:2277	0x3 * ~ v1 + 0x8 * v0 - 0x5 * (v0 & v1) + v0 * v1	-0x3 + 0x8 * v0 - 0x5 * (v0 & v1) - 0x3 * v1 + v0 * v1	v0 * v1 + 0x3 * ~ (v0 ^ v1) + 0xb * (v0 & ~ v1)	13	13	16	W→W
mba_flatten:2282	0x2 * ~ (v0 ^ v1) + v0 * v1	-0x2 - 0x2 * (v0 ^ v1) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 ^ v1)	9	9	10	W→W
mba_flatten:2284	0x18 * ~ v1 - 0xb * (v0 & ~ v1) + v0 * v1	-0x18 - 0x18 * v1 - 0xb * (v0 & ~ v1) + v0 * v1	v0 * v1 + 0xd * (v0 & ~ v1) + 0x18 * ~ (v0 | v1)	12	12	16	W→W
mba_flatten:2285	0xb * ~ v0 + 0x1d * (v0 & v1) - 0xb * v1 + v0 * v1	-0xb + 0x1d * (v0 & v1) - 0xb * v0 - 0xb * v1 + v0 * v1	v0 * v1 + 0x12 * (v0 & v1) + 0xb * ~ (v0 | v1)	13	13	15	W→W
mba_flatten:2289	0x9 * (v1 & ~ v0) - 0x2 * ~ v0 + v0 * v1	0x2 + 0x2 * v0 + 0x9 * (v1 & ~ v0) + v0 * v1	v0 * v1 + 0x7 * ~ (v0 | ~ v1) - 0x2 * ~ (v0 | v1)	12	12	18	W→W
mba_flatten:2290	-~ (v0 | v1) + v0 * v1	0x1 + (v0 | v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 | v1)	9	8	11	W→W
mba_flatten:2296	0x6 * v1 - ~ (v0 * v1)	0x1 + 0x6 * v1 + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & ~ v0) + 0x6 * v1	8	7	15	W→W
mba_flatten:2298	-(v1 & ~ v0) + v0 * v1	-v1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 & ~ v1) + 0x1 * ~ (v0 ^ v1)	9	9	18	W→W
mba_flatten:2299	-~ (v0 & v1) + v0 * v1	0x1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * (v0 & ~ v1) - 0x1 * ~ v0	9	8	16	W→W
mba_flatten:2300	-0x5 * ~ v1 - (v0 & ~ v1) + v0 * v1	0x5 + 0x5 * v1 - v0 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * (v0 & ~ v1) - 0x5 * ~ v1	12	12	16	W→W
mba_flatten:2301	0x2 * ~ v0 - 0x7 * (v0 & v1) + v0 * v1	-0x2 - 0x7 * (v0 & v1) - 0x2 * v0 + v0 * v1	v0 * v1 + 0x2 * ~ v0 - 0x7 * (v0 & v1)	11	11	14	W→W
mba_flatten:2302	0x8 * ~ v0 + 0xc * (v0 & v1) - 0x8 * v1 + v0 * v1	-0x8 + 0xc * (v0 & v1) - 0x8 * v0 - 0x8 * v1 + v0 * v1	v0 * v1 + 0x4 * (v0 & v1) + 0x8 * ~ (v0 | v1)	13	13	15	W→W
mba_flatten:2306	0x4 * (v0 & ~ v1) - 0x3 * ~ v1 + v0 * v1	0x3 + 0x3 * v1 + 0x4 * (v0 & ~ v1) + v0 * v1	v0 * v1 - 0x3 * ~ v1 + 0x4 * (v0 & ~ v1)	12	12	15	W→W
mba_flatten:2308	-0x4 * ~ (v0 & v1) + v0 * v1	0x4 + 0x4 * (v0 & v1) + v0 * v1	v0 * v1 - 0x4 * ~ (v0 & v1)	9	9	11	W→W
mba_flatten:2313	0x4 * v1 - 0x7 * (v0 & v1) - 0x3 * ~ v0 + v0 * v1	0x3 + 0x3 * v0 + 0x4 * v1 - 0x7 * (v0 & v1) + v0 * v1	v0 * v1 + 0x4 * ~ (v0 | ~ v1) - 0x3 * ~ (v0 & ~ v1)	13	13	19	W→W
mba_flatten:2316	0xb * ~ v1 - 0x6 * (v0 & ~ v1) + v0 * v1	-0xb - 0xb * v1 - 0x6 * (v0 & ~ v1) + v0 * v1	v0 * v1 + 0xb * ~ (v0 | v1) + 0x5 * (v0 & ~ v1)	12	12	16	W→W
mba_flatten:2317	0x2 * ~ v1 + 0x5 * (v0 & ~ v1) + v0 * v1	-0x2 + 0x5 * (v0 & ~ v1) - 0x2 * v1 + v0 * v1	v0 * v1 + 0x7 * (v0 & ~ v1) + 0x2 * ~ (v0 | v1)	12	12	16	W→W
mba_flatten:2318	-(v0 & ~ v1) + v0 * v1	-v0 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * (v0 & ~ v1)	9	9	11	W→W
mba_flatten:2319	0x2 * ~ (v0 ^ v1) + v0 * v1	-0x2 - 0x2 * (v0 ^ v1) + v0 * v1	v0 * v1 + 0x2 * (v0 | ~ v1) - 0x2 * (v0 & ~ v1)	9	9	17	W→W
mba_flatten:2320	0xb * (v1 & ~ v0) - 0x9 * ~ v0 + v0 * v1	0x9 + 0x9 * v0 + 0xb * (v1 & ~ v0) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 | ~ v1) - 0x9 * ~ (v0 | v1)	12	12	18	W→W
mba_flatten:2321	0x3 * (v0 & ~ v1) - 0x5 * ~ v1 + v0 * v1	0x5 + 0x3 * (v0 & ~ v1) + 0x5 * v1 + v0 * v1	v0 * v1 + 0x3 * (v0 & ~ v1) - 0x5 * ~ v1	12	12	15	W→W
mba_flatten:2325	-~ (v0 & v1) + v0 * v1	0x1 + (v0 & v1) + v0 * v1	v0 * v1 - 0x1 * ~ v1 - 0x1 * ~ (v0 | ~ v1)	9	8	17	W→W
mba_flatten:2327	-0xb * ~ v0 - (v0 & v1) + v0 * v1	0xb + 0xb * v0 - (v0 & v1) + v0 * v1	v0 * v1 + 0xa * (v0 & v1) - 0xb * ~ (v0 & ~ v1)	11	11	17	W→W
mba_flatten:2332	-0x7 * ~ v1 + v0 * v1	0x7 + 0x7 * v1 + v0 * v1	v0 * v1 - 0x7 * ~ v1	7	7	9	W→W
mba_flatten:2333	0xb * v1 - 0x13 * (v0 & v1) - 0x8 * ~ v0 + v0 * v1	0x8 + 0x8 * v0 + 0xb * v1 - 0x13 * (v0 & v1) + v0 * v1	v0 * v1 - 0xb * ~ (v0 ^ v1) + 0x3 * ~ (v0 & ~ v1)	13	13	18	W→W
